id,date,round,home_team_name,home_goals,away_team_name,away_goals,league,country,start_season,end_season,home_team_id,away_team_id,season_id,league_id
488,2018-03-14 17:00:00,26,Juventus,2,Atalanta,0,Serie A,Italy,2017-08-19,2018-05-20,20,2,5,1
489,2018-03-11 19:45:00,28,Internazionale,0,Napoli,0,Serie A,Italy,2017-08-19,2018-05-20,22,8,5,1
490,2018-03-11 17:00:00,28,Genoa,0,Milan,1,Serie A,Italy,2017-08-19,2018-05-20,11,18,5,1
491,2018-03-11 14:00:00,28,Bologna,0,Atalanta,1,Serie A,Italy,2017-08-19,2018-05-20,27,2,5,1
492,2018-03-11 14:00:00,28,Cagliari,2,Lazio,2,Serie A,Italy,2017-08-19,2018-05-20,3,23,5,1
493,2018-03-11 14:00:00,28,Crotone,4,Sampdoria,1,Serie A,Italy,2017-08-19,2018-05-20,14,25,5,1
494,2018-03-11 14:00:00,28,Sassuolo,1,SPAL,1,Serie A,Italy,2017-08-19,2018-05-20,9,16,5,1
495,2018-03-11 14:00:00,28,Juventus,2,Udinese,0,Serie A,Italy,2017-08-19,2018-05-20,20,24,5,1
496,2018-03-11 11:30:00,28,Fiorentina,1,Benevento,0,Serie A,Italy,2017-08-19,2018-05-20,4,17,5,1
497,2018-03-10 19:45:00,28,Hellas Verona,1,Chievo,0,Serie A,Italy,2017-08-19,2018-05-20,12,26,5,1
498,2018-03-09 19:45:00,28,Roma,3,Torino,0,Serie A,Italy,2017-08-19,2018-05-20,19,7,5,1
499,2018-03-03 19:45:00,27,Napoli,2,Roma,4,Serie A,Italy,2017-08-19,2018-05-20,8,19,5,1
500,2018-03-03 17:00:00,27,Lazio,0,Juventus,1,Serie A,Italy,2017-08-19,2018-05-20,23,20,5,1
501,2018-03-03 14:00:00,27,SPAL,1,Bologna,0,Serie A,Italy,2017-08-19,2018-05-20,16,27,5,1
502,2018-02-26 19:45:00,26,Cagliari,0,Napoli,5,Serie A,Italy,2017-08-19,2018-05-20,3,8,5,1
503,2018-02-25 19:45:00,26,Roma,0,Milan,2,Serie A,Italy,2017-08-19,2018-05-20,19,18,5,1
504,2018-02-25 14:00:00,26,Fiorentina,1,Chievo,0,Serie A,Italy,2017-08-19,2018-05-20,4,26,5,1
505,2018-02-25 14:00:00,26,Sassuolo,0,Lazio,3,Serie A,Italy,2017-08-19,2018-05-20,9,23,5,1
506,2018-02-25 14:00:00,26,Hellas Verona,2,Torino,1,Serie A,Italy,2017-08-19,2018-05-20,12,7,5,1
507,2018-02-25 14:00:00,26,Sampdoria,2,Udinese,1,Serie A,Italy,2017-08-19,2018-05-20,25,24,5,1
508,2018-02-25 11:30:00,26,Crotone,2,SPAL,3,Serie A,Italy,2017-08-19,2018-05-20,14,16,5,1
509,2018-02-24 19:45:00,26,Internazionale,2,Benevento,0,Serie A,Italy,2017-08-19,2018-05-20,22,17,5,1
510,2018-02-24 17:00:00,26,Bologna,2,Genoa,0,Serie A,Italy,2017-08-19,2018-05-20,27,11,5,1
511,2018-02-19 19:45:00,25,Lazio,2,Hellas Verona,0,Serie A,Italy,2017-08-19,2018-05-20,23,12,5,1
512,2018-02-18 19:45:00,25,Milan,1,Sampdoria,0,Serie A,Italy,2017-08-19,2018-05-20,18,25,5,1
513,2018-02-18 17:00:00,25,Atalanta,1,Fiorentina,1,Serie A,Italy,2017-08-19,2018-05-20,2,4,5,1
514,2018-02-18 14:00:00,25,Benevento,3,Crotone,2,Serie A,Italy,2017-08-19,2018-05-20,17,14,5,1
515,2018-02-18 14:00:00,25,Bologna,2,Sassuolo,1,Serie A,Italy,2017-08-19,2018-05-20,27,9,5,1
516,2018-02-18 14:00:00,25,Napoli,1,SPAL,0,Serie A,Italy,2017-08-19,2018-05-20,8,16,5,1
517,2018-02-18 11:30:00,25,Torino,0,Juventus,1,Serie A,Italy,2017-08-19,2018-05-20,7,20,5,1
