"";"xGhomehome";"xGawayaway";"xGhome_team_away";"xGaway_team_home";"punti_homehome";"punti_awayaway";"punti_home_team_away";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"441";1,599;1,68266666666667;1,3875;1,998;3;3;2,5;1,33333333333333;60;64;"2"
"442";1,54533333333333;0,649;1,43166666666667;1,21533333333333;1,33333333333333;1;1,33333333333333;0,333333333333333;37;29;"1"
"443";1,023;2,06366666666667;0,413333333333333;2,01166666666667;0,333333333333333;2,33333333333333;1;1;17;55;"1"
"444";2,35933333333333;0,442;1,82066666666667;1,42966666666667;3;0;1,33333333333333;0,333333333333333;54;15;"1"
"445";1,317;1,9665;0,842666666666667;1,53075;1;3;1,33333333333333;2,25;34;68;"2"
"446";0,5455;1,12;1,28275;2,16833333333333;0,5;0,333333333333333;1,75;1,66666666666667;35;41;"2"
"448";2,48766666666667;1,365;1,08733333333333;1,6515;3;0;1,66666666666667;1,5;74;38;"1"
"449";1,82933333333333;1,25166666666667;1,91833333333333;1,067;2,33333333333333;1,33333333333333;2;0;58;34;"X"
"450";0,674;0,770333333333333;0,413666666666667;1,144;0;0;0;1,33333333333333;22;10;"X"
"452";2,17266666666667;1,492;1,68266666666667;2,48766666666667;2;2,33333333333333;3;3;63;73;"X"
"453";1,708;1,474;0,5155;1,82933333333333;0,5;2;0,75;2,33333333333333;29;55;"2"
"454";1,94066666666667;1,10633333333333;1,684;1,317;2,33333333333333;1,33333333333333;1,33333333333333;1;48;34;"1"
"455";1,186;1,17966666666667;0,442;0,512;0,333333333333333;1,33333333333333;0;0,333333333333333;15;32;"2"
"456";1,86133333333333;0,2125;1,85533333333333;0,8805;2;0;1;0,25;38;14;"2"
"457";1,2615;1,10933333333333;0,79325;2,35933333333333;1,5;1,33333333333333;0;3;9;53;"X"
"458";2,218;0,947333333333333;1,12;1,54533333333333;2,33333333333333;1;0,333333333333333;1,33333333333333;40;36;"X"
"459";1,59933333333333;0,389;2,09366666666667;0,674;2;0;3;0;65;22;"1"
"460";1,29733333333333;1,51066666666667;1,25166666666667;1,89566666666667;0;2,33333333333333;1,33333333333333;2,33333333333333;34;57;"2"
"461";1,99533333333333;1,276;2,09366666666667;1,29733333333333;2;2,33333333333333;3;0;62;34;"1"
